"ID","Coefficient..as.reported.in.the.article.","Standard.error..as.reported.in.the.article.","t.value...z.value..as.reported.in.the.article.","Lower.derounding.bound.of.t.value..this.is.the.smallest.t.value.consistent.with.the.reported.statistical.values..rounded.to.6.decimal.places.","Upper.derounding.bound.of.t.value..this.is.the.largest.t.value.consistent.with.the.reported.statistical.values..rounded.to.6.decimal.places.","Type.of.test..as.reported.in.the.article.","p.value.interval.as.implied.by.reported.statistical.values...this.is.the.p.value.interval.corresponding.to.the.lower.and.upper.derounding.bound.of.the.t.value.and.the.type.of.test..using.the.standard.normal.distribution.and.rounded.to.6.decimal.places.","p.value.interval.as.reported.by.means.of.eye.catchers","Error.in.coefficient","Error.in.standard.error","Error.in.t.value...z.value","Error.in.p.value","Error.in.eye.catcher","There.is.no.reporting.error","I.don.t.know","Error.occurred.while.transferring.results.from.statistical.software.to.Word..Latex.etc.","Error.occurred.while.updating.tables.during.the.research...review.process","Error.occured.in.typesetting.by.the.publisher.and.remained.undetected.in.proofreading","Reporting.error.is.falsely.diagnosed.due.to.low.degrees.of.freedom.of.the.corresponding.test..algorithm.to.detect.reporting.errors.relies.on.critical.values.of.the.standard.normal.distribution.","I.don.t.know.1","Other.reason","error_id","paper_id","our_comment"
1,-0.41,0.13,NA,3,3.32,"two sided","0.000900 < p < 0.002700","0.05 < p < 1",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,"3.18a3_0_10_0.5_1","8a3.40000000000001315",NA
1,0.0123,0.006,NA,1.884615,2.245455,"two sided","0.024739 < p < 0.059482","0 < p < 0.01",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"1.98514e4_0_2_0.25_0.25","14e9.540","marginal"
2,0.00419,0.0044,NA,0.940449,0.964368,"two sided","0.334862 < p < 0.346987","0.01 < p < 0.05",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"1.0414e4_0_2_0.25_0.5","14e9.540","marginal"
1,-0.11,0.007,NA,14,17.692308,"two sided","0.000000 < p < 0.000001","0.1 < p < 1",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"14.15n4_2_6_3_0.5","5n7.3417","coding error by us"
1,NA,NA,2.5,2.495,2.505,"two sided","0.012245 < p < 0.012596","0 < p < 0.01",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,"2.5955r0_3_12_0.25_0.5","5r3.5999999999999903",NA
1,0.309,0.153,NA,2.009772,NA,"two sided","0.042407 < p < 0.044455","0.05 < p < 0.1",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2.117g3_2_4_0.5_0.25","7g8.537","low df"
1,-0.199,0.103,NA,1.917874,1.946341,"two sided","0.051614 < p < 0.055127","0.01 < p < 0.05",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,"2.0189e2_4_7_3_0.5","9e2.09999999999999219",NA
1,0.059,0.009,NA,6.157895,7,"two sided","0.000000 < p < 0.000001","0.05 < p < 0.1",NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"6.2589o0_4_4_0.75_0.25","9o0.099999999999994304",NA
2,-0.67,0.255,NA,2.60274,2.652259,"two sided","0.007996 < p < 0.009248","0.01 < p < 0.05",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2.7039o0_4_5_1.75_0.25","9o0.099999999999994304","low df"
3,-0.29,0.144,NA,1.972318,2.055749,"two sided","0.039807 < p < 0.048573","0.05 < p < 0.1",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2.0729o0_4_5_2_0.25","9o0.099999999999994304","low df"
