"ID","Coefficient..as.reported.in.the.article.","Standard.error..as.reported.in.the.article.","t.value...z.value..as.reported.in.the.article.","Lower.derounding.bound.of.t.value..this.is.the.smallest.t.value.consistent.with.the.reported.statistical.values..rounded.to.6.decimal.places.","Upper.derounding.bound.of.t.value..this.is.the.largest.t.value.consistent.with.the.reported.statistical.values..rounded.to.6.decimal.places.","Type.of.test..as.reported.in.the.article.","p.value.interval.as.implied.by.reported.statistical.values...this.is.the.p.value.interval.corresponding.to.the.lower.and.upper.derounding.bound.of.the.t.value.and.the.type.of.test..using.the.standard.normal.distribution.and.rounded.to.6.decimal.places.","p.value.interval.as.reported.by.means.of.eye.catchers","Error.in.coefficient","Error.in.standard.error","Error.in.t.value...z.value","Error.in.p.value","Error.in.eye.catcher","There.is.no.reporting.error","I.don.t.know","Error.occurred.while.transferring.results.from.statistical.software.to.Word..Latex.etc.","Error.occurred.while.updating.tables.during.the.research...review.process","Error.occured.in.typesetting.by.the.publisher.and.remained.undetected.in.proofreading","Reporting.error.is.falsely.diagnosed.due.to.low.degrees.of.freedom.of.the.corresponding.test..algorithm.to.detect.reporting.errors.relies.on.critical.values.of.the.standard.normal.distribution.","I.don.t.know.1","Other.reason","error_id","paper_id","our_comment"
1,-0.055,0.027,NA,1.981818,2.09434,"two sided","0.036230 < p < 0.047500","0.05 < p < 0.1",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,"2.0828n1_1_4_0.75_0.75","8n9.511",NA
2,0.056,0.019,NA,2.846154,3.054054,"two sided","0.002258 < p < 0.004425","0.1 < p < 1",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,"2.9468n1_1_5_0.25_0.75","8n9.511",NA
3,1.077,0.635,NA,1.693942,1.698188,"two sided","0.089472 < p < 0.090276","0.1 < p < 1",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"1.7948n1_1_5_0.25_2","8n9.511","low df"
4,-0.071,0.024,NA,2.877551,3.042553,"two sided","0.002346 < p < 0.004008","0.1 < p < 1",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,"2.9788n1_1_5_2.5_0.75","8n9.511",NA
5,0.09,0.036,NA,2.452055,2.549296,"two sided","0.010794 < p < 0.014204","0 < p < 0.01",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,"2.5528n1_1_5_3.25_1","8n9.511",NA
6,-0.071,0.024,NA,2.877551,3.042553,"two sided","0.002346 < p < 0.004008","0.1 < p < 1",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,"2.9788n1_1_5_0.75_0.75","8n9.511",NA
7,0.09,0.036,NA,2.452055,2.549296,"two sided","0.010794 < p < 0.014204","0 < p < 0.01",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,"2.5528n1_1_5_1_1","8n9.511",NA
8,0.056,0.019,NA,2.846154,3.054054,"two sided","0.002258 < p < 0.004425","0.1 < p < 1",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,"2.9468n1_1_5_2_0.75","8n9.511",NA
9,1.077,0.635,NA,1.693942,1.698188,"two sided","0.089472 < p < 0.090276","0.1 < p < 1",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"1.7948n1_1_5_2_2","8n9.511","low df"
10,0.133,0.058,NA,2.264957,2.321739,"two sided","0.020247 < p < 0.023515","0 < p < 0.01",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,"2.3658n1_1_5_2.25_0.75","8n9.511",NA
11,0.767,0.423,NA,1.809917,1.816568,"two sided","0.069283 < p < 0.070309","0.01 < p < 0.05",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,"1.918n1_1_9_0.25_0.5","8n9.511",NA
12,-10.577,6.44,NA,1.64104,1.643745,"two sided","0.100229 < p < 0.100789","0.05 < p < 0.1",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"1.7418n1_1_9_0.25_1","8n9.511","implausible answer"
1,-0.2127,0.152,NA,1.394426,1.40429,"two sided","0.160232 < p < 0.163189","0 < p < 0.01",NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,"1.4947k1_0_1_0.5_0.25","7k1.4000000000000110",NA
2,-0.0067,0.0029,NA,2.254237,2.368421,"two sided","0.017864 < p < 0.024181","0 < p < 0.01",NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,"2.3547k1_0_2_0.75_0.5","7k1.4000000000000110",NA
3,-0.1103,0.0517,NA,2.130435,2.136496,"two sided","0.032639 < p < 0.033136","0 < p < 0.01",NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,"2.237k1_0_4_1.25_0.25","7k1.4000000000000110",NA
1,0.167,0.128,NA,1.29572,1.313725,"two sided","0.188939 < p < 0.195072","0.05 < p < 0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"1.39614u1_4_4_1.75_0.5","14u6.2119","misalignment"
2,0.126,0.086,NA,1.450867,1.479532,"two sided","0.138998 < p < 0.146817","0.01 < p < 0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"1.55114u1_4_4_1.75_1.75","14u6.2119","misalignment"
3,0.192,0.115,NA,1.658009,1.681223,"two sided","0.092720 < p < 0.097316","0.1 < p < 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"1.75814u1_4_4_2_0.75","14u6.2119","misalignment"
4,0.214,0.104,NA,2.043062,2.072464,"two sided","0.038222 < p < 0.041046","0.05 < p < 0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"2.14314u1_4_4_2_1","14u6.2119","misalignment"
5,0.108,0.094,NA,1.137566,1.160428,"two sided","0.245875 < p < 0.255302","0.05 < p < 0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"1.23814u1_4_4_2_1.75","14u6.2119","misalignment"
6,0.15,0.085,NA,1.748538,1.781065,"two sided","0.074902 < p < 0.080371","0.1 < p < 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"1.84914u1_4_4_2_2.25","14u6.2119","misalignment"
1,NA,NA,0.695,0.6945,0.6955,"two sided","0.486742 < p < 0.487369","0 < p < 0.01",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"0.7955d0_1_7_0.5_1","5d5.0999999999999906","implausible answer"
1,0.801,0.49,NA,1.632008,1.637385,"two sided","0.101550 < p < 0.102678","0.05 < p < 0.1",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,"1.73210y3_1_4_1_1","10y3.3311",NA
2,0.189,0.078,NA,2.401274,2.445161,"two sided","0.014479 < p < 0.016338","0 < p < 0.01",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,"2.50110y3_1_4_1.75_2","10y3.3311",NA
3,0.128,0.053,NA,2.383178,2.447619,"two sided","0.014380 < p < 0.017164","0 < p < 0.01",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,"2.48310y3_1_7_0.5_1","10y3.3311",NA
4,-0.16,0.093,NA,1.705882,1.735135,"two sided","0.082717 < p < 0.088030","0.1 < p < 1",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,"1.80610y3_1_7_1_1","10y3.3311",NA
1,15.8,9.7,NA,1.615385,1.642487,"two sided","0.100489 < p < 0.106227","0.05 < p < 0.1",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,"1.7157l2_1_A_1_0.5_0.25","7l5.5999999999999926","author: low df;implausible answer"
1,0.43,0.27,NA,1.545455,1.641509,"two sided","0.100692 < p < 0.122236","0.05 < p < 0.1",NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,"1.6459i4_1_2_0.5_0.75","9i9.0999999999999946",NA
1,NA,NA,1.7,1.65,1.75,"two sided","0.080118 < p < 0.098943","0.01 < p < 0.05",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"1.7510a0_3_7_1.5_0.5","10a0.508","implausible answer"
2,NA,NA,1.65,1.645,1.655,"two sided","0.097924 < p < 0.099970","0.01 < p < 0.05",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"1.74510a0_3_7_1.75_0.5","10a0.508","implausible answer"
3,NA,NA,1.68,1.675,1.685,"two sided","0.091989 < p < 0.093934","0.01 < p < 0.05",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"1.77510a0_3_7_1.75_0.75","10a0.508","implausible answer"
1,1.498,0.546,NA,2.740165,2.747021,"two sided","0.006014 < p < 0.006141","0.01 < p < 0.05",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,"2.846f1_3_10_0.25_1.25","6f1.513","author: low df"
2,1.478,0.556,NA,2.654987,2.661566,"two sided","0.007778 < p < 0.007931","0.01 < p < 0.05",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,"2.7556f1_3_10_0.25_1.5","6f1.513","author: low df"
3,3.133,1.55,NA,2.014469,2.028155,"two sided","0.042544 < p < 0.043960","0.05 < p < 0.1",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,"2.1146f1_3_11_0.25_0.5","6f1.513","author: low df"
4,0.681,0.255,NA,2.663405,2.6778,"two sided","0.007411 < p < 0.007735","0.01 < p < 0.05",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,"2.7636f1_3_5_0.5_1.5","6f1.513","author: low df"
5,0.143,0.068,NA,2.080292,2.125926,"two sided","0.033509 < p < 0.037499","0.05 < p < 0.1",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,"2.186f1_3_6_0.25_1.25","6f1.513","author: low df"
6,-0.045,0.022,NA,1.977778,2.116279,"two sided","0.034321 < p < 0.047954","0.05 < p < 0.1",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,"2.0786f1_3_6_0.5_0.5","6f1.513","author: low df"
1,-0.5484,0.3203,NA,1.711722,1.712568,"two sided","0.086792 < p < 0.086948","0.1 < p < 1",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"1.8125y2_2_5_1_1.5","5y5.327","implausible answer"
1,-0.4908,0.235,NA,2.083864,2.093177,"two sided","0.036333 < p < 0.037173","0.1 < p < 1",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,"2.1847l1_3_5_C_2_3.75_1.25","7l1.40000000000001118",NA
2,0.1408,0.1045,NA,1.346246,1.348492,"two sided","0.177500 < p < 0.178223","0 < p < 0.01",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,"1.4467l1_3_5_C_2_1.5_0.5","7l1.40000000000001118",NA
3,-0.1715,0.0631,NA,2.714964,2.720856,"two sided","0.006511 < p < 0.006628","0.01 < p < 0.05",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,"2.8157l1_3_5_C_2_2.25_1.5","7l1.40000000000001118",NA
4,0.9875,0.3683,NA,2.680738,2.681738,"two sided","0.007324 < p < 0.007346","0.01 < p < 0.05",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,"2.7817l1_3_6_1_1.75_1.75","7l1.40000000000001118",NA
5,-0.1385,0.0495,NA,2.794147,2.80182,"two sided","0.005082 < p < 0.005204","0.01 < p < 0.05",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,"2.8947l1_3_6_1_2_1.5","7l1.40000000000001118",NA
1,0.484,0.194,NA,2.485861,2.503876,"two sided","0.012284 < p < 0.012924","0 < p < 0.01",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2.5865r3_4_4_2.75_0.75","5r6.4000000000000139","coding error by us"
2,-1.431,0.599,NA,2.386155,2.391813,"two sided","0.016765 < p < 0.017026","0 < p < 0.01",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,"2.4865r3_4_4_3.5_1.5","5r6.4000000000000139",NA
1,0.353,0.124,NA,2.831325,2.862348,"two sided","0.004205 < p < 0.004636","0.01 < p < 0.05",NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,"2.9316d3_2_3_0.25_1.25","6d8.5317",NA
2,-0.278,0.986,NA,0.281298,0.282598,"two sided","0.777485 < p < 0.778482","0 < p < 0.01",NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"0.3816d3_2_3_0.5_0.75","6d8.5317",NA
3,0.364,0.112,NA,3.231111,3.269058,"two sided","0.001079 < p < 0.001233","0.01 < p < 0.05",NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,"3.3316d3_2_3_1_1.5","6d8.5317",NA
4,-0.142,0.008,NA,16.647059,19,"two sided","0.000000 < p < 0.000001","0.05 < p < 0.1",NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,"16.7476d3_2_6_1_8.75","6d8.5317",NA
1,0.194,0.082,NA,2.345455,2.386503,"two sided","0.017009 < p < 0.019004","0 < p < 0.01",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,"2.4458a2_4_3_0.25_1","8a2.229",NA
2,0.195,0.095,NA,2.036649,2.068783,"two sided","0.038566 < p < 0.041685","0 < p < 0.01",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,"2.1378a2_4_3_0.25_1.25","8a2.229",NA
1,0.109,0.063,NA,1.708661,1.752,"two sided","0.079774 < p < 0.087514","0.1 < p < 1",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,"1.8098e0_0_5_0.25_0.75","8e5.40000000000001010",NA
2,0.693,0.112,NA,6.155556,6.219731,"two sided","0.000000 < p < 0.000001","0.01 < p < 0.05",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,"6.2568e0_0_5_0.5_0.25","8e5.40000000000001010",NA
3,0.439,0.096,NA,4.544041,4.602094,"two sided","0.000004 < p < 0.000006","0.01 < p < 0.05",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,"4.6448e0_0_5_0.5_0.5","8e5.40000000000001010",NA
4,0.435,0.117,NA,3.697872,3.738197,"two sided","0.000185 < p < 0.000217","0.01 < p < 0.05",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,"3.7988e0_0_5_0.5_0.75","8e5.40000000000001010",NA
5,0.007,0.001,NA,4.333333,15,"two sided","0.000000 < p < 0.000015","0.01 < p < 0.05",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,"4.4338e0_0_5_0.75_0.25","8e5.40000000000001010",NA
6,4.274,1.122,NA,3.807127,3.811413,"two sided","0.000138 < p < 0.000141","0.01 < p < 0.05",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,"3.9078e0_0_5_1_0.25","8e5.40000000000001010",NA
7,0.58,0.063,NA,9.055118,9.36,"two sided","0.000000 < p < 0.000001","0.01 < p < 0.05",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,"9.1558e0_0_5_1_0.5","8e5.40000000000001010",NA
8,0.618,0.07,NA,8.233333,9.515385,"two sided","0.000000 < p < 0.000001","0.01 < p < 0.05",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,"8.3338e0_0_5_1_0.75","8e5.40000000000001010",NA
9,0.0524,0.019,NA,2.684615,2.835135,"two sided","0.004581 < p < 0.007261","0.01 < p < 0.05",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,"2.7858e0_0_7_D_0.25_0.25","8e5.40000000000001010",NA
1,-0.79,0.41,NA,1.891566,1.962963,"two sided","0.049650 < p < 0.058549","0 < p < 0.01",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,"1.9925o0_1_4_0.5_0.75","5o0.400000000000006011",NA
2,0.26,0.16,NA,1.545455,1.709677,"two sided","0.087326 < p < 0.122236","0.01 < p < 0.05",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,"1.6455o1_1_3_1_1.25","5o6.09999999999999111",NA
1,-0.039,0.014,NA,2.655172,2.925926,"two sided","0.003434 < p < 0.007927","0.01 < p < 0.05",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,"2.7559w2_0_5_0.5_0.5","9w2.2215",NA
1,-0.3272,0.1796,NA,1.821041,1.822612,"two sided","0.068362 < p < 0.068601","0.1 < p < 1",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,"1.9218n0_3_2_0.5_0.5","8n0.400000000000006013",NA
1,0.543,0.208,NA,2.601918,2.619277,"two sided","0.008812 < p < 0.009270","0.01 < p < 0.05",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,"2.7026n1_1_3_2.5_1.25","6n9.4000000000000116","author: low df"
2,-0.783,0.475,NA,1.645636,1.651212,"two sided","0.098695 < p < 0.099839","0.1 < p < 1",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,"1.7466n1_1_3_3_1.5","6n9.4000000000000116","author: low df"
3,-0.1345,0.0094,NA,14.227513,14.390374,"two sided","0.000000 < p < 0.000001","0.1 < p < 1",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"14.3286n1_1_B_1_0.25_1.25","6n9.4000000000000116",NA
4,-0.0053,0.0031,NA,1.666667,1.754098,"two sided","0.079414 < p < 0.095581","0.1 < p < 1",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,"1.7676n1_1_B_2_0.25_1.75","6n9.4000000000000116",NA
1,0.002,0.0049,NA,0.30303,0.515464,"two sided","0.606229 < p < 0.761867","0 < p < 0.01",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,"0.4037d0_0_7_0.25_1.25","7d0.0999999999999943010",NA
2,0.0026,0.0049,NA,0.515152,0.546392,"two sided","0.584797 < p < 0.606447","0 < p < 0.01",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,"0.6157d0_0_7_0.25_1.5","7d0.0999999999999943010",NA
1,-119.29,39.54,NA,3.016437,3.017453,"two sided","0.002549 < p < 0.002558","0.05 < p < 0.1",NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,"3.1167s4_3_3_B_1_0.75","7s7.3413",NA
2,0.025,0.005,NA,4.454545,5.666667,"two sided","0.000000 < p < 0.000008","0.15 < p < 1",NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,"4.5557s4_3_6_0.5_0.75","7s7.3413",NA
3,-0.179,0.078,NA,2.273885,2.316129,"two sided","0.020551 < p < 0.022973","0.15 < p < 1",NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,"2.3747s4_3_6_1.5_0.5","7s7.3413",NA
4,0.458,0.217,NA,2.103448,2.117783,"two sided","0.034193 < p < 0.035427","0.05 < p < 0.1",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,"2.2037s4_3_6_2.25_0.5","7s7.3413",NA
5,0.004,0.005,NA,0.636364,1,"two sided","0.317311 < p < 0.524539","0 < p < 0.05",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,"0.7367s4_3_B_2_A_2_0.5","7s7.3413",NA
6,0.481,0.212,NA,2.261176,2.276596,"two sided","0.022810 < p < 0.023748","0.05 < p < 0.1",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,"2.3617s4_3_B_3_A_2_0.25","7s7.3413","low df"
7,0.51,0.224,NA,2.269488,2.284116,"two sided","0.022365 < p < 0.023239","0.05 < p < 0.1",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,"2.3697s4_3_B_3_B_2_0.25","7s7.3413","low df"
8,0.044,0.187,NA,0.232,0.238606,"two sided","0.811411 < p < 0.816538","0 < p < 0.05",1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"0.3327s4_3_B_3_B_2.25_0.25","7s7.3413",NA
15,-2.3,1.2,NA,1.904564,1.92887,"one sided","0.026873 < p < 0.028418","0.05 < p < 1",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,"2.0055n4_2_4_0.5_0.75","5n4.09999999999999417",NA
1,-0.005,0.002,NA,1.8,3.666667,"two sided","0.000246 < p < 0.071861","0.1 < p < 1",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,"1.93i4_4_5_1_0.75","3i9.344",NA
2,0.0833,0.0428,NA,1.942824,1.949708,"two sided","0.051211 < p < 0.052037","0.01 < p < 0.05",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,"2.0433i4_4_7_0.25_0.25","3i9.344","author: low df;implausible answer"
3,0.0833,0.0428,NA,1.942824,1.949708,"two sided","0.051211 < p < 0.052037","0.01 < p < 0.05",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,"2.0433i4_4_7_0.25_0.75","3i9.344","author: low df;implausible answer"
1,0.08,0.005,NA,13.636364,18.888889,"two sided","0.000000 < p < 0.000001","0.01 < p < 0.05",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,"13.7366a4_4_4_3.25_0.25","6a9.3419",NA
1,-0.086,0.032,NA,2.630769,2.746032,"two sided","0.006032 < p < 0.008519","0.01 < p < 0.05",NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"2.7318o1_4_4_A_0.25_0.75","8o1.5999999999999919",NA
1,-0.065,0.032,NA,1.984615,2.079365,"two sided","0.037584 < p < 0.047187","0.05 < p < 0.1",1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"2.0857l0_1_5_C_0.5_0.25","7l5.301",NA
2,0.258,0.101,NA,2.536946,2.572139,"two sided","0.010107 < p < 0.011182","0 < p < 0.01",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,"2.6377l0_1_5_D_0.75_1.25","7l5.301","implausible answer"
3,0.015,0.011,NA,1.26087,1.47619,"two sided","0.139893 < p < 0.207356","0.05 < p < 0.1",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,"1.3617l0_1_9_C_1.25_0.25","7l5.301",NA
4,0.076,0.043,NA,1.735632,1.8,"two sided","0.071861 < p < 0.082629","0.1 < p < 1",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,"1.8367l0_1_9_D_0.75_1","7l5.301",NA
1,1.0682,0.6216,NA,1.71825,1.718687,"two sided","0.085671 < p < 0.085751","0.1 < p < 1",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,"1.8186i2_3_6_2.75_1","6i7.40000000000001218",NA
2,-0.4321,0.2208,NA,1.956305,1.957644,"two sided","0.050272 < p < 0.050429","0.01 < p < 0.05",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,"2.0566i2_3_6_0.5_0.75","6i7.40000000000001218",NA
1,0.525,0.209,NA,2.50358,2.520384,"two sided","0.011723 < p < 0.012294","0 < p < 0.01",NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,"2.6045a3_4_3_0.5_0.5","5a8.09999999999999319",NA
2,-0.093,0.031,NA,2.936508,3.065574,"two sided","0.002173 < p < 0.003319","0.1 < p < 1",NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,"3.0375a3_4_3_1.25_0.5","5a8.09999999999999319",NA
1,-0.029,0.016,NA,1.727273,1.903226,"two sided","0.057011 < p < 0.084119","0 < p < 0.05",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,"1.8277a0_3_2_2.75_0.75","7a0.0999999999999943013",NA
2,-8.96,4.33,NA,2.065744,2.072832,"two sided","0.038188 < p < 0.038853","0.1 < p < 1",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,"2.1667a0_3_4_0.75_0.5","7a0.0999999999999943013",NA
3,-11.24,0.26,NA,42.396226,44.098039,"two sided","0.000000 < p < 0.000001","0.1 < p < 1",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,"42.4967a0_3_5_0.75_0.25","7a0.0999999999999943013",NA
1,NA,NA,NA,0.09,0.085,"0.095000","0.085000 < p < 0.095000","0.1 < p < 1",NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,"0.1854n0_0_9_A_0.25_0.5","4n5.305",NA
1,-0.797,0.401,NA,1.983811,1.991261,"two sided","0.046452 < p < 0.047277","0.05 < p < 0.1",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,"2.0845n0_1_3_0.25_0.25","5n5.0999999999999901","author: low df"
2,-0.797,0.403,NA,1.973978,1.981366,"two sided","0.047550 < p < 0.048384","0.05 < p < 0.1",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,"2.0745n0_1_3_0.25_0.5","5n5.0999999999999901","author: low df"
3,-14.08,5,NA,2.812188,2.81982,"two sided","0.004805 < p < 0.004921","0.01 < p < 0.05",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,"2.9125n0_1_3_0.75_1.5","5n5.0999999999999901","author: low df"
4,-32.42,15.38,NA,2.106922,2.108943,"two sided","0.034949 < p < 0.035124","0.05 < p < 0.1",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,"2.2075n0_1_3_1_1","5n5.0999999999999901","author: low df"
5,-32.42,15.47,NA,2.094669,2.09667,"two sided","0.036023 < p < 0.036200","0.05 < p < 0.1",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,"2.1955n0_1_3_1_1.25","5n5.0999999999999901","author: low df"
6,-0.203,0.097,NA,2.076923,2.108808,"two sided","0.034961 < p < 0.037809","0.05 < p < 0.1",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,"2.1775n0_1_6_0.75_0.75","5n5.0999999999999901","author: low df"
8,NA,NA,2.56,2.555,2.565,"two sided","0.010318 < p < 0.010619","0 < p < 0.01",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,"2.6555n1_0_7_1.25_1.75","5n9.59999999999999115","implausible answer"
7,NA,NA,2.89,2.885,2.895,"two sided","0.003792 < p < 0.003914","0.05 < p < 1",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,"2.9855n3_1_3_A_0.5_0.25","5n6.5311",NA
1,0.934,0.399,NA,2.336671,2.345044,"two sided","0.019025 < p < 0.019456","0 < p < 0.01",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,"2.4376r0_2_A_2_3.25_0.5","6r5.3017",NA
1,0.035,0.016,NA,2.090909,2.290323,"two sided","0.022003 < p < 0.036536","0.05 < p < 0.1",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,"2.1918d1_2_2_B_0.5_0.25","8d1.5112","marginal"
2,0.037,0.025,NA,1.431373,1.530612,"two sided","0.125865 < p < 0.152323","0.01 < p < 0.05",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,"1.5318d1_2_2_B_0.5_1.5","8d1.5112","marginal"
3,0.03,0.022,NA,1.111111,1.627907,"two sided","0.103545 < p < 0.266521","0.01 < p < 0.05",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,"1.2118d1_2_3_0.25_0.5","8d1.5112","marginal"
